school_name,hensachi,school_type,gender,gakka,location,prefecture,prefecture_ja
登美丘高校,58,府立,共学,普通,堺市東区,osaka,大阪府
河南高校,57,府立,共学,普通,富田林市,osaka,大阪府
布施高校,57,府立,共学,普通,東大阪市,osaka,大阪府
枚方高校,57,府立,共学,国際文化,枚方市,osaka,大阪府
刀根山高校,56,府立,共学,普通,豊中市,osaka,大阪府
枚方高校,56,府立,共学,普通,枚方市,osaka,大阪府
阿倍野高校,55,府立,共学,普通,大阪市阿倍野区,osaka,大阪府
花園高校,55,府立,共学,国際文化,東大阪市,osaka,大阪府
久米田高校,55,府立,共学,普通,岸和田市,osaka,大阪府
狭山高校,55,府立,共学,普通,大阪狭山市,osaka,大阪府
堺東高校,55,府立,共学,総合,堺市南区,osaka,大阪府
旭高校,54,府立,共学,普通,大阪市旭区,osaka,大阪府
香里丘高校,54,府立,共学,普通,枚方市,osaka,大阪府
高槻北高校,54,府立,共学,普通,高槻市,osaka,大阪府
千里青雲高校,54,府立,共学,総合,豊中市,osaka,大阪府
長野高校,54,府立,共学,国際文化,河内長野市,osaka,大阪府
花園高校,53,府立,共学,普通,東大阪市,osaka,大阪府
山本高校,53,府立,共学,普通,八尾市,osaka,大阪府
東住吉高校,53,府立,共学,芸能文化,大阪市平野区,osaka,大阪府
芦間高校,52,府立,共学,総合,守口市,osaka,大阪府
阪南高校,52,府立,共学,普通,大阪市住吉区,osaka,大阪府
吹田東高校,52,府立,共学,普通,吹田市,osaka,大阪府
芥川高校,51,府立,共学,普通,高槻市,osaka,大阪府
高石高校,51,府立,共学,普通,高石市,osaka,大阪府
摂津高校,51,府立,共学,体育,摂津市,osaka,大阪府
日根野高校,51,府立,共学,普通,泉佐野市,osaka,大阪府
金岡高校,50,府立,共学,普通,堺市北区,osaka,大阪府
交野高校,50,府立,共学,普通,交野市,osaka,大阪府
柴島高校,50,府立,共学,総合,大阪市東淀川区,osaka,大阪府
摂津高校,50,府立,共学,普通,摂津市,osaka,大阪府
豊島高校,50,府立,共学,普通,豊中市,osaka,大阪府
金剛高校,49,府立,共学,普通,富田林市,osaka,大阪府
大塚高校,49,府立,共学,体育,松原市,osaka,大阪府
八尾翠翔高校,49,府立,共学,普通,八尾市,osaka,大阪府
汎愛高校,49,府立,共学,体育,大阪市鶴見区,osaka,大阪府
みどり清朋高校,48,府立,共学,普通,東大阪市,osaka,大阪府
今宮工科高校,48,府立,共学,工学系大学進学専科,大阪市西成区,osaka,大阪府
長野高校,48,府立,共学,普通,河内長野市,osaka,大阪府
門真なみはや高校,48,府立,共学,総合,門真市,osaka,大阪府
港高校,47,府立,共学,普通,大阪市港区,osaka,大阪府
港南造形高校,47,府立,共学,総合造形,大阪市住之江区,osaka,大阪府
長尾高校,47,府立,共学,普通,枚方市,osaka,大阪府
東淀川高校,47,府立,共学,普通,大阪市淀川区,osaka,大阪府
藤井寺高校,47,府立,共学,普通,藤井寺市,osaka,大阪府
北かわち皐が丘高校,47,府立,共学,普通,寝屋川市,osaka,大阪府
淀川工科高校,47,府立,共学,工学系大学進学専科,大阪市旭区,osaka,大阪府
茨木西高校,46,府立,共学,普通,茨木市,osaka,大阪府
貝塚南高校,46,府立,共学,普通,貝塚市,osaka,大阪府
堺西高校,46,府立,共学,普通,堺市南区,osaka,大阪府
渋谷高校,46,府立,共学,普通,池田市,osaka,大阪府
大阪府教育センター附属高校,46,府立,共学,普通,大阪市住吉区,osaka,大阪府
東百舌鳥高校,46,府立,共学,普通,堺市中区,osaka,大阪府
汎愛高校,46,府立,共学,普通,大阪市鶴見区,osaka,大阪府
貝塚高校,45,府立,共学,総合,貝塚市,osaka,大阪府
今宮工科高校,45,府立,共学,グラフィックデザイン系,大阪市西成区,osaka,大阪府
今宮工科高校,45,府立,共学,機械系,大阪市西成区,osaka,大阪府
今宮工科高校,45,府立,共学,建築系,大阪市西成区,osaka,大阪府
今宮工科高校,45,府立,共学,電気系,大阪市西成区,osaka,大阪府
大冠高校,45,府立,共学,普通,高槻市,osaka,大阪府
枚方なぎさ高校,45,府立,共学,総合,枚方市,osaka,大阪府
懐風館高校,44,府立,共学,普通,羽曳野市,osaka,大阪府
松原高校,44,府立,共学,総合,松原市,osaka,大阪府
泉大津高校,44,府立,共学,普通,泉大津市,osaka,大阪府
大塚高校,44,府立,共学,普通,松原市,osaka,大阪府
農芸高校,44,府立,共学,ハイテク農芸,堺市美原区,osaka,大阪府
農芸高校,44,府立,共学,資源動物,堺市美原区,osaka,大阪府
農芸高校,44,府立,共学,食品加工,堺市美原区,osaka,大阪府
八尾北高校,44,府立,共学,総合,八尾市,osaka,大阪府
福井高校,44,府立,共学,総合,茨木市,osaka,大阪府
枚方津田高校,44,府立,共学,普通,枚方市,osaka,大阪府
淀川工科高校,44,府立,共学,総合募集,大阪市旭区,osaka,大阪府
