area_code,total_pop,did_pop,area_name,did_ratio
11342,17889,11605,嵐山町,64.87
11343,28524,5280,小川町,18.51
11348,13560,6875,鳩山町,50.7
11385,30343,5872,上里町,19.35
11442,34147,19334,宮代町,56.62
11464,43845,24228,杉戸町,55.26
11465,28266,19492,松伏町,68.96
12100,974951,891873,千葉市,91.48
12101,211736,204864,千葉市中央区,96.75
12102,177328,158033,千葉市花見川区,89.12
12103,160582,156851,千葉市稲毛区,97.68
12104,146940,117229,千葉市若葉区,79.78
12105,129421,105952,千葉市緑区,81.87
12106,148944,148944,千葉市美浜区,100.0
12202,58431,27900,銚子市,47.75
12203,496676,486306,市川市,97.91
12204,642907,617424,船橋市,96.04
12205,45153,14169,館山市,31.38
12206,136166,102312,木更津市,75.14
12207,498232,487367,松戸市,97.82
12208,152638,100881,野田市,66.09
12210,86782,32027,茂原市,36.91
12211,132906,87148,成田市,65.57
12212,168743,136266,佐倉市,80.75
12213,58219,13926,東金市,23.92
12215,63745,5145,旭市,8.07
12216,176197,175993,習志野市,99.88
12217,426468,390336,柏市,91.53
12219,269524,174608,市原市,64.78
12220,199849,182632,流山市,91.38
12221,199498,183397,八千代市,91.93
12222,130510,112835,我孫子市,86.46
12224,109932,100480,鎌ケ谷市,91.4
12225,82206,48154,君津市,58.58
12226,42465,5246,富津市,12.35
12227,171362,171362,浦安市,100.0
12228,93576,70102,四街道市,74.91
12229,63883,32431,袖ケ浦市,50.77
12230,67455,8769,八街市,13.0
12231,102609,67246,印西市,65.54
12232,62441,44231,白井市,70.84
