area_code,daynight_ratio,area_name
14364,95.16039,山北町
14366,88.47352,開成町
14382,151.47633,箱根町
14383,74.5943,真鶴町
14384,86.45009,湯河原町
14401,101.41288,愛川町
14402,92.71935,清川村
15100,101.51971,新潟市
15101,94.1699,新潟市北区
15102,92.98865,新潟市東区
15103,132.08737,新潟市中央区
15104,99.19746,新潟市江南区
15105,85.91153,新潟市秋葉区
15106,95.11437,新潟市南区
15107,91.366,新潟市西区
15108,91.60397,新潟市西蒲区
15202,102.49843,長岡市
15204,103.90556,三条市
15205,102.26181,柏崎市
15206,97.31572,新発田市
15208,99.77259,小千谷市
15209,94.58926,加茂市
15210,98.09531,十日町市
15211,86.88682,見附市
15212,97.13494,村上市
15213,100.25193,燕市
15216,99.03537,糸魚川市
15217,95.39143,妙高市
15218,89.78484,五泉市
15222,100.15077,上越市
15223,89.4829,阿賀野市
15224,100.29342,佐渡市
15225,94.53309,魚沼市
15226,100.25953,南魚沼市
15227,96.78787,胎内市
15307,129.38746,聖籠町
15342,86.17371,弥彦村
15361,77.96193,田上町
15385,96.13014,阿賀町
15405,88.03004,出雲崎町
15461,113.44768,湯沢町
15482,100.03988,津南町
15504,93.86387,刈羽村
15581,86.1454,関川村
15586,104.32432,粟島浦村
16201,105.78357,富山市
16202,99.96747,高岡市
16204,98.70735,魚津市
16205,85.26213,氷見市
16206,93.74141,滑川市
16207,108.03591,黒部市
16208,95.40612,砺波市
16209,97.97691,小矢部市
16210,97.98741,南砺市
16211,95.74685,射水市
16321,72.50168,舟橋村
16322,88.26087,上市町
16323,82.82099,立山町
16342,87.22321,入善町
16343,88.4942,朝日町
17201,107.9167,金沢市
17202,104.03796,七尾市
17203,100.55369,小松市
17204,100.37111,輪島市
17205,101.19658,珠洲市
17206,96.42485,加賀市
17207,98.97832,羽咋市
17209,89.57304,かほく市
17210,96.86422,白山市
17211,94.42524,能美市
17212,94.17231,野々市市
17324,101.41799,川北町
17361,75.81692,津幡町
17365,73.23526,内灘町
17384,98.40858,志賀町
17386,85.63838,宝達志水町
17407,83.48984,中能登町
17461,102.4926,穴水町
17463,94.79167,能登町
18201,110.13561,福井市
18202,100.98088,敦賀市
18204,101.7088,小浜市
18205,91.65182,大野市
18206,90.6487,勝山市
18207,92.50483,鯖江市
18208,96.58185,あわら市
18209,103.14509,越前市
18210,88.31081,坂井市
18322,88.32168,永平寺町
18382,88.17286,池田町
18404,76.49782,南越前町
18423,81.06138,越前町
18442,103.954,美浜町
18481,101.00982,高浜町
18483,107.84384,おおい町
18501,94.08141,若狭町
19201,114.22913,甲府市
19202,98.73477,富士吉田市
19204,96.78145,都留市
19205,90.32185,山梨市
19206,89.69275,大月市
19207,105.99413,韮崎市
19208,89.93336,南アルプス市
19209,102.1303,北杜市
19210,77.86411,甲斐市
19211,92.93837,笛吹市
19212,97.03689,上野原市
19213,91.43065,甲州市
19214,100.10924,中央市
19346,89.67013,市川三郷町
19364,115.35581,早川町
19365,103.04681,身延町
19366,88.34759,南部町
19368,89.39453,富士川町
19384,130.82799,昭和町
19422,83.01779,道志村
19423,71.69507,西桂町
19424,117.22792,忍野村
19425,107.16206,山中湖村
19429,97.87744,鳴沢村
19430,100.65538,富士河口湖町
