school_name,hensachi,school_type,gender,gakka,location,prefecture,prefecture_ja,area_code,daynight_ratio
夕張高校,43,道立,共学,普通,夕張市,hokkaido,北海道,01209,102.95149
羅臼高校,43,道立,共学,普通,目梨郡羅臼町,hokkaido,北海道,,
留辺蘂高校,43,道立,共学,総合,北見市,hokkaido,北海道,01208,99.87956
阿寒高校,42,道立,共学,普通,釧路市,hokkaido,北海道,01206,100.56712
根室高校,42,道立,共学,事務情報,根室市,hokkaido,北海道,01223,100.55355
根室高校,42,道立,共学,商業,根室市,hokkaido,北海道,01223,100.55355
佐呂間高校,42,道立,共学,普通,常呂郡佐呂間町,hokkaido,北海道,,
室蘭工業高校,42,道立,共学,環境土木,室蘭市,hokkaido,北海道,01205,109.37288
室蘭工業高校,42,道立,共学,建築,室蘭市,hokkaido,北海道,01205,109.37288
室蘭工業高校,42,道立,共学,電気,室蘭市,hokkaido,北海道,01205,109.37288
室蘭工業高校,42,道立,共学,電子機械,室蘭市,hokkaido,北海道,01205,109.37288
斜里高校,42,道立,共学,総合,斜里郡斜里町,hokkaido,北海道,,
上ノ国高校,42,道立,共学,普通,檜山郡上ノ国町,hokkaido,北海道,,
常呂高校,42,道立,共学,普通,北見市,hokkaido,北海道,01208,99.87956
深川東高校,42,道立,共学,生産科学,深川市,hokkaido,北海道,01228,101.2415
清水高校,42,道立,共学,総合,上川郡清水町,hokkaido,北海道,,
清里高校,42,道立,共学,普通,斜里郡清里町,hokkaido,北海道,,
足寄高校,42,道立,共学,普通,足寄郡足寄町,hokkaido,北海道,,
大野農業高校,42,道立,共学,園芸福祉,北斗市,hokkaido,北海道,01236,90.28454
大野農業高校,42,道立,共学,食品科学,北斗市,hokkaido,北海道,01236,90.28454
池田高校,42,道立,共学,総合,中川郡池田町,hokkaido,北海道,,
長沼高校,42,道立,共学,普通,夕張郡長沼町,hokkaido,北海道,,
追分高校,42,道立,共学,普通,勇払郡安平町,hokkaido,北海道,,
美瑛高校,42,道立,共学,普通,上川郡美瑛町,hokkaido,北海道,,
平取高校,42,道立,共学,普通,沙流郡平取町,hokkaido,北海道,,
豊富高校,42,道立,共学,普通,天塩郡豊富町,hokkaido,北海道,,
岩見沢農業高校,41,道立,共学,環境造園,岩見沢市,hokkaido,北海道,01210,96.71712
岩見沢農業高校,41,道立,共学,食品科学,岩見沢市,hokkaido,北海道,01210,96.71712
岩見沢農業高校,41,道立,共学,森林科学,岩見沢市,hokkaido,北海道,01210,96.71712
岩見沢農業高校,41,道立,共学,生活科学,岩見沢市,hokkaido,北海道,01210,96.71712
岩見沢農業高校,41,道立,共学,畜産科学,岩見沢市,hokkaido,北海道,01210,96.71712
岩見沢農業高校,41,道立,共学,農業科学,岩見沢市,hokkaido,北海道,01210,96.71712
岩見沢農業高校,41,道立,共学,農業土木工学,岩見沢市,hokkaido,北海道,01210,96.71712
興部高校,41,道立,共学,普通,紋別郡興部町,hokkaido,北海道,,
月形高校,41,道立,共学,普通,樺戸郡月形町,hokkaido,北海道,,
厚岸翔洋高校,41,道立,共学,普通,厚岸郡厚岸町,hokkaido,北海道,,
広尾高校,41,道立,共学,普通,広尾郡広尾町,hokkaido,北海道,,
砂川高校,41,道立,共学,普通,砂川市,hokkaido,北海道,01226,104.46479
鹿追高校,41,道立,共学,普通,河東郡鹿追町,hokkaido,北海道,,
上川高校,41,道立,共学,普通,上川郡上川町,hokkaido,北海道,,
森高校,41,道立,共学,総合,茅部郡森町,hokkaido,北海道,,
